"PyDev - Editor","Python Uncomment","Ctrl+\","PyDev editor scope"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Git","Merge Branch...","Shift+Alt+G M","In Windows"
"Edit","Select All","Ctrl+X H","In Dialogs and Windows"
"Edit","Hide Find Bar","F12","Find Bar"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Git","Disconnect","Shift+Alt+G Delete","In Windows"
"Edit","Search in Enclosing Project","Alt+P","Find Bar"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"PyDev - Run","Run editor with current interpreter","F9","PyDev editor scope"
"Edit","Search in Open Files","Alt+S","Find Bar"
"Edit","Find Next or Previous (depends on search backward configuration)","Enter","Find Bar"
"Window","Previous Editor (Aptana)","Shift+Ctrl+Tab","In Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Git","Revert","Shift+Alt+G R","In Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Git","Initialize Git repository","Shift+Alt+G T","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Window","Next View","Ctrl+X O","In Windows"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Edit","Content Assist","Alt+/","In Dialogs and Windows"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"Terminal view commands","Terminal view insert","Alt+E","Terminal widget context"
"pepticcategory","Inline Local Variable...","Shift+Alt+I","PyDev editor scope"
"Navigate","Go to Line","Ctrl+X G","Editing Text"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Views","Show View (Declaration)","Shift+Alt+Q D","In Windows"
"Terminal view commands","Terminal view insert","Alt+T","Terminal widget context"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"File","Close","Ctrl+W","In Windows"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Run/Debug","Run Eclipse Application","Shift+Alt+X E","In Windows"
"Text Editing","Text Start","Esc <","Editing Text"
"PyDev - Editor","Python Un Collapse All","Ctrl+0","PyDev editor scope"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Git","Show in Resource History","Shift+Alt+G H","In Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Aptana","Mark Occurrences","Shift+Alt+O","Aptana Editor"
"Text Editing","Delete Previous Word","Alt+Backspace","Editing Text"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"File","Properties","Alt+Enter","In Windows"
"File","Rename","F2","In Windows"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Git","Diff...","Shift+Alt+G F","In Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Edit","Find and Replace","Esc R","In Windows"
"Navigate","Open Resource","Ctrl+T","In Windows"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"Text Editing","Delete Next Word","Alt+Delete","Editing Text"
"Project","Build All","Ctrl+B","In Windows"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Git","Status","Shift+Alt+G S","In Windows"
"Git","Create Branch...","Shift+Alt+G A","In Windows"
"Edit","Context Information","Alt+?","In Windows"
"Run/Debug","Inspect","Shift+Ctrl+I","Aptana Editor"
"Git","Push all tags to remote...","Shift+Alt+G Numpad_6","In Windows"
"Edit","Find and Replace","Alt+R","In Windows"
"Git","Blame","Shift+Alt+G B","In Windows"
"Edit","Toggle Whole Word Matching","Alt+W","Find Bar"
"Git","Delete Branch...","Shift+Alt+G D","In Windows"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Git","Pull","Shift+Alt+G Left","In Windows"
"Edit","Input Newline in Find Bar","Alt+Enter","Find Bar"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Terminal view commands","Terminal view insert","Alt+F","Terminal widget context"
"File Transfer","Upload...","Shift+Ctrl+U","In Windows"
"File","Refresh","F5","In Windows"
"Navigate","Next","Ctrl+.","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Navigate","Forward History","Alt+Right","In Windows"
"Edit","Find Next or Previous (depends on search backward configuration)","Alt+N","Find Bar"
"Edit","Find Previous","Shift+Enter","Find Bar"
"Window","Next View","Ctrl+F7","In Windows"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"PyDev - Editor","Python Collapse All","Ctrl+9","PyDev editor scope"
"Terminal view commands","Terminal view insert","Alt+A","Terminal widget context"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Git","Create Tag...","Shift+Alt+G Numpad_9","In Windows"
"PyDev - Run","Set Next Statement","Ctrl+Alt+R","In Windows"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Edit","Word Completion","Alt+/","Editing Text"
"Uncategorized","Deploy App","Ctrl+Alt+D","In Windows"
"Window","Switch to Editor","Ctrl+X Ctrl+B","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Views","Expand to Level ()","Ctrl+Alt+2","Aptana Outline"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Edit","Toggle Search Backward","Alt+B","Find Bar"
"Git","Stage","Shift+Alt+G Numpad_Add","In Windows"
"Views","Show View (Type Hierarchy)","Shift+Alt+Q T","In Windows"
"Uncategorized","Find all references","Shift+Ctrl+G","PyDev editor scope"
"Text Editing","Text Start","Alt+<","Editing Text"
"Text Editing","Scroll Line Up","Esc Z","Editing Text"
"Run/Debug","Step Return","F7","Debugging"
